Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s),X (rad/s),Y (rad/s),Z (rad/s),Time (s),X (µT),Y (µT),Z (µT)
0.328376,-1.126707001,9.746981049,0.3954776001,0.350853,-0.06908145547,-0.0917744115,-0.01640639454,0.350853,10.13421631,-43.98762512,-11.87701416
0.338367,-1.08000412,9.682914276,0.5640270996,0.360844,-0.04001392797,-0.07653800398,-0.00790503528,0.360844,10.02374268,-43.89389038,-11.89761353
0.348357,-1.128203888,9.649234314,0.6384223938,0.370834,-0.0189523194,-0.04192569852,-0.004346785136,0.370834,9.923950195,-43.94741821,-11.85679626
0.358348,-1.196012878,9.636211395,0.5689668274,0.380825,-0.001850089757,-0.0109170191,-0.003398431931,0.380825,9.987854004,-43.81861877,-12.04156494
0.368338,-1.201850739,9.62273941,0.4646337891,0.390815,0.00622061966,0.01160666626,0.00002239830792,0.390815,10.16802979,-43.80831909,-11.93019104
0.378329,-1.125359802,9.589807892,0.4837939453,0.400806,-0.0002858978696,0.004140167497,0.01037330274,0.400806,10.19616699,-43.92927551,-11.92918396
0.388319,-1.048868866,9.577683105,0.4888833618,0.410796,-0.01845211722,-0.03136722744,0.01546713058,0.410796,10.22143555,-43.87275696,-12.04342651
0.39831,-1.074914703,9.629026337,0.4236190796,0.420787,-0.04270270839,-0.06262934953,0.01492549572,0.420787,10.31341553,-43.9997406,-12.1390686
0.4083,-1.153351593,9.666298828,0.3110531616,0.430777,-0.0563820377,-0.07638378441,0.009322737344,0.430777,10.28405762,-44.09315491,-11.98846436
0.418291,-1.138233032,9.644893341,0.2616558838,0.440768,-0.05522787943,-0.08951979876,0.01133187488,0.440768,10.3291626,-44.11473083,-12.09733582
0.428281,-1.105151825,9.652976532,0.3222798157,0.450758,-0.04735930637,-0.08136812598,0.01111908816,0.450758,10.21929932,-44.0836792,-11.84648132
0.438272,-1.100810852,9.690847778,0.412691803,0.460749,-0.04669513181,-0.06202491373,0.007206963375,0.460749,10.30133057,-43.96740723,-11.97314453
0.448262,-1.139430542,9.691446533,0.4586462402,0.470739,-0.04426686093,-0.04460836947,0.004148855805,0.470739,10.26556396,-43.94314575,-12.05055237
0.458253,-1.16308136,9.70940918,0.5054988098,0.48073,-0.03801072016,-0.02548122406,0.007601682097,0.48073,10.20703125,-43.94044495,-12.1864624
0.468243,-1.159788208,9.712253265,0.4746629333,0.49072,-0.02355881035,-0.01000799239,0.01164089888,0.49072,10.28936768,-43.99942017,-12.11268616
0.478234,-1.17939743,9.699679413,0.4390370178,0.500711,0.005857576616,0.005661450792,0.01557903737,0.500711,10.22717285,-43.93382263,-12.1436615
0.488224,-1.156495056,9.693841553,0.4513114929,0.510701,0.03472064808,0.00464225933,0.01794951595,0.510701,10.2265625,-43.93971252,-12.34642029
0.498215,-1.147962799,9.668244781,0.5084925842,0.520692,0.0441335924,-0.008564499207,0.02639205009,0.520692,10.18200684,-43.9541626,-12.11865234
0.508205,-1.140478363,9.664352875,0.5748046875,0.530682,0.03448629379,-0.02495359071,0.02970661968,0.530682,10.02905273,-44.13212585,-12.27607727
0.518196,-1.160087585,9.658215637,0.5346881104,0.540673,0.01265061274,-0.0465785265,0.0192481149,0.540673,10.08972168,-44.03663635,-12.23492432
0.528186,-1.174457703,9.680369568,0.3547622681,0.550663,-0.009570002556,-0.06945294887,0.005488359835,0.550663,10.1161499,-44.06864929,-12.34326172
0.538177,-1.147962799,9.668843536,0.2754272461,0.560654,-0.02930537798,-0.08137112111,-0.0002794102766,0.560654,10.10247803,-43.96777344,-12.39379883
0.548167,-1.099164276,9.662107544,0.3044668579,0.570645,-0.04222836718,-0.0789622888,0.000003151129931,0.570645,10.0458374,-44.0606842,-12.39222717
0.558158,-1.096469879,9.705517273,0.3107537842,0.580635,-0.04155076295,-0.06237230822,-0.004045332316,0.580635,10.16186523,-44.02043152,-12.47151184
0.568149,-1.128952332,9.698182526,0.329614563,0.590625,-0.03282731399,-0.02609286644,-0.001631709514,0.590625,10.09381104,-44.10020447,-12.43330383
0.578139,-1.122515717,9.68830307,0.3736230469,0.600616,-0.01702200063,0.004390628077,0.002545785857,0.600616,10.22320557,-44.1111908,-12.25888062
0.588129,-1.102906494,9.674681396,0.4152365112,0.610606,-0.009226929396,0.01693678088,0.008535767905,0.610606,10.15606689,-44.13825989,-12.33123779
0.59812,-1.134341125,9.656269684,0.4686753845,0.620597,-0.008090064861,0.01937971264,0.01088941284,0.620597,10.23138428,-44.08059692,-12.34068298
0.60811,-1.148860931,9.651329956,0.436791687,0.630588,-0.01213487424,0.01072044298,0.01241460443,0.630588,10.16357422,-44.15693665,-12.33842468
0.618101,-1.141226807,9.639055481,0.4029620361,0.640578,-0.01950711198,0.003305310849,0.01899351925,0.640578,10.05505371,-44.10639954,-12.42063904
0.628092,-1.135838013,9.654024353,0.412691803,0.650569,-0.0244781673,-0.0007847719826,0.01743716747,0.650569,10.14257812,-44.0934906,-12.42285156
0.638082,-1.129251709,9.676777039,0.3658392334,0.660559,-0.02580948174,-0.01705082692,0.01346719358,0.660559,10.10229492,-43.99589539,-12.5451355
0.648073,-1.115779724,9.637558594,0.340841217,0.67055,-0.03217843175,-0.03916918114,0.0145463068,0.67055,10.16601562,-44.08731079,-12.49034119
0.658063,-1.074765015,9.639354858,0.3942800903,0.68054,-0.04671455175,-0.04937930778,0.01673942246,0.68054,10.07043457,-44.15158081,-12.34413147
0.668054,-1.118923187,9.674681396,0.4023632813,0.690531,-0.05875017866,-0.04100366682,0.01178621035,0.690531,10.05023193,-44.19369507,-12.39828491
0.678044,-1.180295563,9.704918518,0.3547622681,0.700521,-0.05675596371,-0.03120377846,0.008713778108,0.700521,10.21514893,-44.26434326,-12.49479675
0.688035,-1.137933655,9.717941437,0.3580554199,0.710512,-0.04154612124,-0.02512857504,0.01001419872,0.710512,10.1262207,-44.47486877,-12.45811462
0.698025,-1.069076843,9.708361359,0.4016148376,0.720502,-0.02412980795,-0.0275988169,0.01366150007,0.720502,10.06585693,-44.3846283,-12.55473328
0.708016,-1.068178711,9.669292603,0.4716691589,0.730493,-0.02008632943,-0.04380921274,0.0235796459,0.730493,9.920532227,-44.3122406,-12.43829346
0.718006,-1.079854431,9.664053497,0.5182223511,0.740483,-0.03102758341,-0.06040460616,0.03025208786,0.740483,10.07763672,-44.39268494,-12.76359558
0.727997,-1.150507507,9.703271942,0.4810995483,0.750474,-0.04893840849,-0.07162769884,0.03095542826,0.750474,10.0401001,-44.17382812,-12.64448547
0.737987,-1.19466568,9.713600464,0.3375480652,0.760464,-0.06820850819,-0.09811469913,0.03498425707,0.760464,9.975708008,-44.16598511,-12.86230469
0.747978,-1.192570038,9.695787506,0.2686912537,0.770455,-0.09495650232,-0.1394693255,0.0390650183,0.770455,10.00244141,-44.1975708,-12.65458679
0.757968,-1.187480621,9.697134705,0.347277832,0.780445,-0.1277610511,-0.1593487561,0.04087010771,0.780445,9.889587402,-44.1605072,-12.69978333
0.767959,-1.215472412,9.726324005,0.352666626,0.790436,-0.1573961675,-0.1826234609,0.04658951238,0.790436,9.861450195,-44.19055176,-12.86521912
0.777949,-1.205742645,9.72228241,0.3137475586,0.800426,-0.1784668118,-0.2236822248,0.050375361,0.800426,9.91418457,-44.16572571,-12.96852112
0.78794,-1.217118988,9.782457275,0.3680845642,0.810417,-0.1816508919,-0.2772104144,0.05775418133,0.810417,9.91418457,-44.16572571,-12.96852112
0.79793,-1.27070755,9.80416214,0.3694317627,0.820407,-0.1764829457,-0.3073650599,0.05651453137,0.820407,9.72265625,-44.23266602,-13.24433899
0.807921,-1.305285645,9.81239502,0.3538641357,0.830398,-0.1762443185,-0.3102085292,0.03503294289,0.830398,9.652587891,-44.17306519,-13.22497559
0.817911,-1.215322723,9.758207703,0.392334137,0.840388,-0.1748676598,-0.2776927948,0.02088878676,0.840388,9.736572266,-44.25535583,-13.31204224
0.827902,-1.081650696,9.665251007,0.483943634,0.850379,-0.1623657197,-0.2263215035,0.01554195769,0.850379,9.785766602,-44.24996948,-13.46112061
0.837892,-0.9812095642,9.652377777,0.6117778015,0.860369,-0.1289910823,-0.1852699071,0.01495072525,0.860369,9.824523926,-44.22038269,-13.62138367
0.847883,-0.9295669556,9.682016144,0.6968009949,0.87036,-0.09294439107,-0.1490858048,0.0242323745,0.87036,9.700805664,-44.12910461,-13.65403748
0.857873,-0.9586065674,9.646090851,0.8156538391,0.88035,-0.08719638735,-0.1298946887,0.047514759,0.88035,9.540588379,-44.01901245,-13.36357117
0.867864,-1.040037231,9.616302795,0.9038204956,0.890341,-0.1400374919,-0.1682024002,0.06886186451,0.890341,9.383850098,-43.9649353,-13.63244629
0.877854,-1.190324707,9.711504822,0.8508306885,0.900331,-0.1897636801,-0.3132903874,0.08514825255,0.900331,9.441650391,-44.03477478,-13.62184143
